Eje_X_Distancia Banda_1 Banda_2 Banda_3
5.34141033e+00 -3.23548008e-01 2.40005415e+00 3.70484528e+00
5.35546667e+00 -3.27925838e-01 2.40454948e+00 3.70551376e+00
5.36952301e+00 -3.32232869e-01 2.40888400e+00 3.70626749e+00
5.38357936e+00 -3.36468587e-01 2.41305809e+00 3.70710527e+00
5.39763570e+00 -3.40632537e-01 2.41707241e+00 3.70802570e+00
5.41169204e+00 -3.44724320e-01 2.42092787e+00 3.70902717e+00
5.42574839e+00 -3.48743594e-01 2.42462561e+00 3.71010791e+00
5.43980473e+00 -3.52690067e-01 2.42816701e+00 3.71126594e+00
5.45386107e+00 -3.56563501e-01 2.43155371e+00 3.71249914e+00
5.46791741e+00 -3.60363706e-01 2.43478753e+00 3.71380518e+00
5.48197376e+00 -3.64090539e-01 2.43787054e+00 3.71518159e+00
5.49603010e+00 -3.67743904e-01 2.44080500e+00 3.71662572e+00
5.51008644e+00 -3.71323748e-01 2.44359338e+00 3.71813480e+00
5.52414279e+00 -3.74830058e-01 2.44623831e+00 3.71970590e+00
5.53819913e+00 -3.78262865e-01 2.44874264e+00 3.72133595e+00
5.55225547e+00 -3.81622236e-01 2.45110935e+00 3.72302179e+00
5.56631182e+00 -3.84908274e-01 2.45334157e+00 3.72476010e+00
5.58036816e+00 -3.88121118e-01 2.45544261e+00 3.72654750e+00
5.59442450e+00 -3.91260941e-01 2.45741587e+00 3.72838048e+00
5.60848084e+00 -3.94327945e-01 2.45926489e+00 3.73025547e+00
5.62253719e+00 -3.97322363e-01 2.46099333e+00 3.73216882e+00
5.63659353e+00 -4.00244456e-01 2.46260491e+00 3.73411680e+00
5.65064987e+00 -4.03094509e-01 2.46410348e+00 3.73609565e+00
5.66470622e+00 -4.05872835e-01 2.46549293e+00 3.73810155e+00
5.67876256e+00 -4.08579766e-01 2.46677722e+00 3.74013064e+00
5.69281890e+00 -4.11215658e-01 2.46796036e+00 3.74217906e+00
5.70687525e+00 -4.13780885e-01 2.46904641e+00 3.74424291e+00
5.72093159e+00 -4.16275839e-01 2.47003945e+00 3.74631829e+00
5.73498793e+00 -4.18700928e-01 2.47094357e+00 3.74840130e+00
