Eje_X_Distancia Banda_1 Banda_2 Banda_3
3.06428277e+00 -4.48065613e-01 2.33245016e+00 3.20222597e+00
3.09239545e+00 -4.38905429e-01 2.30694788e+00 3.21313074e+00
3.12050814e+00 -4.29374824e-01 2.28134080e+00 3.22391179e+00
3.14862083e+00 -4.19486448e-01 2.25565580e+00 3.23455601e+00
3.17673351e+00 -4.09254331e-01 2.22992080e+00 3.24505059e+00
3.20484620e+00 -3.98693937e-01 2.20416469e+00 3.25538299e+00
3.23295888e+00 -3.87822226e-01 2.17841748e+00 3.26554099e+00
3.26107157e+00 -3.76657711e-01 2.15271028e+00 3.27551270e+00
3.28918425e+00 -3.65220519e-01 2.12707534e+00 3.28528656e+00
3.31729694e+00 -3.53532454e-01 2.10154616e+00 3.29485136e+00
3.34540963e+00 -3.41617053e-01 2.07615746e+00 3.30419627e+00
3.37352231e+00 -3.29499652e-01 2.05094528e+00 3.31331083e+00
3.40163500e+00 -3.17207436e-01 2.02594699e+00 3.32218498e+00
3.42974768e+00 -3.04769498e-01 2.00120133e+00 3.33080910e+00
3.45786037e+00 -2.92216883e-01 1.97674847e+00 3.33917396e+00
3.48597306e+00 -2.79582629e-01 1.95263000e+00 3.34727082e+00
3.51408574e+00 -2.66901796e-01 1.92888898e+00 3.35509136e+00
3.54219843e+00 -2.54211482e-01 1.90556990e+00 3.36262776e+00
3.57031111e+00 -2.41550821e-01 1.88271871e+00 3.36987267e+00
3.59842380e+00 -2.28960958e-01 1.86038275e+00 3.37681927e+00
3.62653649e+00 -2.16485004e-01 1.83861069e+00 3.38346123e+00
3.65464917e+00 -2.04167951e-01 1.81745247e+00 3.38979277e+00
3.68276186e+00 -1.92056558e-01 1.79695911e+00 3.39580867e+00
3.71087454e+00 -1.80199189e-01 1.77718260e+00 3.40150424e+00
3.73898723e+00 -1.68645602e-01 1.75817564e+00 3.40687539e+00
3.76709992e+00 -1.57446690e-01 1.73999136e+00 3.41191861e+00
3.79521260e+00 -1.46654159e-01 1.72268303e+00 3.41663100e+00
3.82332529e+00 -1.36320140e-01 1.70630359e+00 3.42101027e+00
3.85143797e+00 -1.26496742e-01 1.69090526e+00 3.42505477e+00
3.87955066e+00 -1.17235541e-01 1.67653899e+00 3.42876351e+00
3.90766335e+00 -1.08587008e-01 1.66325385e+00 3.43213612e+00
3.93577603e+00 -1.00599880e-01 1.65109644e+00 3.43517294e+00
3.96388872e+00 -9.33205000e-02 1.64011017e+00 3.43787499e+00
3.99200140e+00 -8.67921198e-02 1.63033457e+00 3.44024398e+00
